Connecting to host lon.speedtest.clouvider.net, port 5201
[  5] local 192.168.64.2 port 33522 connected to 5.180.211.133 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   640 KBytes  5.23 Mbits/sec    4    120 KBytes       
[  5]   1.00-2.00   sec   768 KBytes  6.30 Mbits/sec    6   64.1 KBytes       
[  5]   2.00-3.00   sec   256 KBytes  2.10 Mbits/sec    3   36.3 KBytes       
[  5]   3.00-4.00   sec   256 KBytes  2.10 Mbits/sec    6   20.6 KBytes       
[  5]   4.00-5.01   sec   256 KBytes  2.09 Mbits/sec    2   16.9 KBytes       
[  5]   5.01-6.00   sec   128 KBytes  1.05 Mbits/sec    0   23.0 KBytes       
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    2   18.1 KBytes       
[  5]   7.00-8.00   sec   256 KBytes  2.10 Mbits/sec    0   24.2 KBytes       
[  5]   8.00-9.00   sec   128 KBytes  1.05 Mbits/sec    4   15.7 KBytes       
[  5]   9.00-10.01  sec   256 KBytes  2.09 Mbits/sec    0   19.3 KBytes       
[  5]  10.01-11.00  sec   128 KBytes  1.05 Mbits/sec    0   24.2 KBytes       
[  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    2   21.8 KBytes       
[  5]  12.00-13.00  sec   256 KBytes  2.10 Mbits/sec    2   19.3 KBytes       
[  5]  13.00-14.00  sec   128 KBytes  1.05 Mbits/sec    2   16.9 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   20.6 KBytes       
[  5]  15.00-16.00  sec   256 KBytes  2.10 Mbits/sec    0   23.0 KBytes       
[  5]  16.00-17.00  sec   128 KBytes  1.05 Mbits/sec    0   27.8 KBytes       
[  5]  17.00-18.01  sec   256 KBytes  2.09 Mbits/sec    2   24.2 KBytes       
[  5]  18.01-19.01  sec   128 KBytes  1.05 Mbits/sec    2   21.8 KBytes       
[  5]  19.01-20.01  sec   256 KBytes  2.10 Mbits/sec    0   23.0 KBytes       
[  5]  20.01-21.00  sec  0.00 Bytes  0.00 bits/sec    3   13.3 KBytes       
