PING lon.speedtest.clouvider.net (5.180.211.133) 56(84) bytes of data.
64 bytes from 5.180.211.133: icmp_seq=1 ttl=50 time=78.7 ms
64 bytes from 5.180.211.133: icmp_seq=2 ttl=50 time=78.3 ms
64 bytes from 5.180.211.133: icmp_seq=3 ttl=50 time=78.1 ms
64 bytes from 5.180.211.133: icmp_seq=4 ttl=50 time=78.4 ms
64 bytes from 5.180.211.133: icmp_seq=5 ttl=50 time=79.9 ms
64 bytes from 5.180.211.133: icmp_seq=6 ttl=50 time=89.4 ms
64 bytes from 5.180.211.133: icmp_seq=7 ttl=50 time=135 ms
64 bytes from 5.180.211.133: icmp_seq=8 ttl=50 time=108 ms
64 bytes from 5.180.211.133: icmp_seq=9 ttl=50 time=106 ms
64 bytes from 5.180.211.133: icmp_seq=10 ttl=50 time=90.5 ms
64 bytes from 5.180.211.133: icmp_seq=11 ttl=50 time=109 ms
64 bytes from 5.180.211.133: icmp_seq=12 ttl=50 time=96.8 ms
64 bytes from 5.180.211.133: icmp_seq=13 ttl=50 time=93.1 ms
64 bytes from 5.180.211.133: icmp_seq=14 ttl=50 time=103 ms
64 bytes from 5.180.211.133: icmp_seq=15 ttl=50 time=128 ms
64 bytes from 5.180.211.133: icmp_seq=16 ttl=50 time=101 ms
64 bytes from 5.180.211.133: icmp_seq=17 ttl=50 time=102 ms
64 bytes from 5.180.211.133: icmp_seq=18 ttl=50 time=87.6 ms
64 bytes from 5.180.211.133: icmp_seq=19 ttl=50 time=87.7 ms
64 bytes from 5.180.211.133: icmp_seq=20 ttl=50 time=136 ms
64 bytes from 5.180.211.133: icmp_seq=21 ttl=50 time=132 ms
64 bytes from 5.180.211.133: icmp_seq=22 ttl=50 time=94.0 ms
64 bytes from 5.180.211.133: icmp_seq=23 ttl=50 time=94.3 ms
64 bytes from 5.180.211.133: icmp_seq=24 ttl=50 time=98.5 ms
64 bytes from 5.180.211.133: icmp_seq=25 ttl=50 time=91.0 ms
64 bytes from 5.180.211.133: icmp_seq=26 ttl=50 time=95.3 ms
64 bytes from 5.180.211.133: icmp_seq=27 ttl=50 time=102 ms
64 bytes from 5.180.211.133: icmp_seq=28 ttl=50 time=104 ms
64 bytes from 5.180.211.133: icmp_seq=29 ttl=50 time=94.7 ms
64 bytes from 5.180.211.133: icmp_seq=30 ttl=50 time=92.0 ms
64 bytes from 5.180.211.133: icmp_seq=31 ttl=50 time=88.4 ms
64 bytes from 5.180.211.133: icmp_seq=32 ttl=50 time=99.8 ms
64 bytes from 5.180.211.133: icmp_seq=33 ttl=50 time=97.0 ms
64 bytes from 5.180.211.133: icmp_seq=34 ttl=50 time=105 ms
64 bytes from 5.180.211.133: icmp_seq=35 ttl=50 time=110 ms
64 bytes from 5.180.211.133: icmp_seq=36 ttl=50 time=111 ms
64 bytes from 5.180.211.133: icmp_seq=37 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=38 ttl=50 time=131 ms
64 bytes from 5.180.211.133: icmp_seq=39 ttl=50 time=92.4 ms
64 bytes from 5.180.211.133: icmp_seq=40 ttl=50 time=118 ms
