Connecting to host lon.speedtest.clouvider.net, port 5201
[  5] local 192.168.64.2 port 39490 connected to 5.180.211.133 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.25 MBytes  18.8 Mbits/sec    1    750 KBytes       
[  5]   1.00-2.00   sec  3.12 MBytes  26.2 Mbits/sec   22   47.2 KBytes       
[  5]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    5   27.8 KBytes       
[  5]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    4   18.1 KBytes       
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0   26.6 KBytes       
[  5]   5.00-6.00   sec   896 KBytes  7.35 Mbits/sec    0   36.3 KBytes       
[  5]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    2   20.6 KBytes       
[  5]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    2   14.5 KBytes       
[  5]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    2   10.9 KBytes       
[  5]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   19.3 KBytes       
[  5]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    2   14.5 KBytes       
[  5]  11.00-12.00  sec   896 KBytes  7.34 Mbits/sec    0   23.0 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    4   8.46 KBytes       
[  5]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    2   9.67 KBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   18.1 KBytes       
[  5]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    2   12.1 KBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    3   12.1 KBytes       
[  5]  17.00-18.01  sec  0.00 Bytes  0.00 bits/sec    0   20.6 KBytes       
[  5]  18.01-19.00  sec  0.00 Bytes  0.00 bits/sec    0   29.0 KBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    2   20.6 KBytes       
[  5]  20.00-21.00  sec  1.00 MBytes  8.41 Mbits/sec    0   30.2 KBytes       
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    2   20.6 KBytes       
[  5]  22.00-23.01  sec  0.00 Bytes  0.00 bits/sec    0   30.2 KBytes       
[  5]  23.01-24.00  sec  0.00 Bytes  0.00 bits/sec    2   20.6 KBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    2   13.3 KBytes       
[  5]  25.00-26.00  sec   896 KBytes  7.33 Mbits/sec    0   21.8 KBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    4   21.8 KBytes       
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    0   21.8 KBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    2   14.5 KBytes       
[  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    4   18.1 KBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    2   13.3 KBytes       
[  5]  32.00-33.00  sec   896 KBytes  7.33 Mbits/sec    0   21.8 KBytes       
[  5]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    4   8.46 KBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0   16.9 KBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    2   14.5 KBytes       
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   23.0 KBytes       
[  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    2   16.9 KBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    2   12.1 KBytes       
[  5]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    2   8.46 KBytes       
[  5]  40.00-41.00  sec  1.00 MBytes  8.39 Mbits/sec    2   8.46 KBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   16.9 KBytes       
[  5]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   25.4 KBytes       
[  5]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   35.1 KBytes       
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    2   21.8 KBytes       
[  5]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    2   15.7 KBytes       
[  5]  46.00-47.00  sec   896 KBytes  7.33 Mbits/sec    0   25.4 KBytes       
[  5]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    2   16.9 KBytes       
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    2   12.1 KBytes       
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    2   8.46 KBytes       
[  5]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   18.1 KBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   25.4 KBytes       
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   32.6 KBytes       
[  5]  53.00-54.00  sec  1.00 MBytes  8.39 Mbits/sec    4   9.67 KBytes       
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   18.1 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    2   20.6 KBytes       
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    2   4.84 KBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   13.3 KBytes       
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    2   9.67 KBytes       
